Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
10500,427922,307197,49940,103965,121049,39114,60902,239139558,2083342,142916,19639,232216178,138334,269966774,64133,211858143,97307,106349311,26430,72426813,35701683
10750,446138,318217,49046,105687,122262,40165,61893,245078514,230645,131496,17920,238185543,138743,276261809,56695,217107702,104225,108771472,25224,74380734,38478285
11000,517382,321813,47017,105522,125625,40290,62139,252508070,238349,142698,17997,243812243,140311,283411251,59331,222452419,104221,110513291,24011,74810114,40348456
11250,451606,315023,47330,105186,120581,42005,63122,258918473,238352,173674,17967,249937816,135467,290502138,60930,227589666,99081,113847599,24637,77312394,41621109
11500,452973,334337,93379,104758,138978,40678,67446,267928653,224381,140804,17952,256149702,142912,298172446,64767,233323564,106298,116363400,25511,78871656,42788121
11750,450398,347726,47244,106418,123146,41781,61678,272168738,221046,128871,18652,262048219,138048,306335688,64449,239267454,104408,120266964,25666,81535960,43494443
12000,445760,393184,47070,103116,123591,39550,61756,279665061,226733,137769,18703,267623581,135821,315009195,63991,244844768,99899,123227127,23958,84910169,44483831
12250,443428,334113,47004,111292,123609,41997,62670,284399873,242119,140551,18663,273565666,139023,322509846,66789,250302404,101353,126545948,26018,89370312,47474239
12500,442004,324128,46639,102376,120770,37783,60391,286201069,223482,136542,18646,279893322,140079,329692813,63646,255684785,103186,131180457,24707,94603962,52137910
12750,448012,352283,47842,105167,124672,39415,64419,292639119,248324,136850,18718,285072391,136857,337104867,62454,260367701,100787,135083426,24492,97073075,53482577
13000,514475,352913,48567,102773,122972,40333,62535,298790036,243583,137621,18930,291074398,131485,343132694,60956,265365833,99413,137459570,23495,98618765,53811707
13250,452428,345337,49633,102175,120739,41315,60660,303749490,225886,134363,19106,296565139,179587,350183254,60134,270373592,101159,141141164,28232,101665163,55492963
13500,451099,355295,47896,106133,126020,41503,65720,308844047,308045,134686,18712,302289735,139542,356582155,64108,276156080,101324,143731965,25114,103990666,58792877
13750,470769,369441,47282,106063,117235,40747,60235,314250473,248478,137640,18698,308048987,133335,364368088,63890,281443119,121061,146417812,24548,106491466,60267422
14000,450588,360080,47145,102977,118897,40582,60951,319613040,232082,135365,19043,314078717,137493,371778241,65192,287034657,116471,150488151,24278,109394468,61339997
14250,467457,365514,47361,104014,120066,42692,61147,325083958,240386,137004,24650,319987242,138188,380225005,65328,292489078,105055,153245594,23779,112205656,62876045
14500,467575,442894,48145,104875,121331,41325,82082,330255981,237486,148075,24959,325280294,136526,387635209,67351,297811988,106228,156688623,25447,113660826,63858238
14750,485435,374275,68032,104004,115460,39180,61308,335637075,238774,138322,23895,331015984,135292,393857100,66812,302498515,100693,158111862,27382,116178972,65192011
15000,530847,389678,47214,105868,120672,42168,66424,340382049,260999,138678,24290,336580483,144137,400401176,63115,307532686,105384,161271767,23819,119203249,66510817
15250,485610,381808,47939,104764,119543,43682,61594,345457507,253884,142813,24576,341752198,136445,405959626,61456,312383792,107808,164575729,24122,120785746,67480744
15500,474235,374059,48656,102699,129006,42213,57935,350889756,266938,135385,25423,347752528,140085,411498837,64336,317854038,102011,168938747,22999,124170797,68740435
15750,477866,384738,47107,102523,119802,41020,59235,355846549,261706,129070,24715,353382650,132602,418382373,78072,323112919,99222,171471046,24994,127315522,69658863
16000,486866,381412,47718,103963,120245,38174,60227,360642343,260034,142921,24688,358774523,137845,426090096,136123,328009723,108150,175114245,23546,129987337,70917022
16250,472981,399275,49408,103013,119563,42495,58881,365702315,282589,136051,24805,364552228,135333,432718213,62883,332990606,101737,178062796,25763,132476462,72238375
16500,480230,399294,47918,104679,129377,40977,59981,370935369,267164,143748,24797,370478422,144998,439033544,60209,338086191,1937979,180269465,25891,136037408,73648248
16750,539632,446654,48632,100965,118975,38007,61324,374879967,322814,140124,25091,376088537,135905,445349560,62304,343230362,118423,182280697,23091,138620096,74535622
17000,489478,385579,48457,98108,119949,36433,60182,379983872,281868,188506,25637,381965310,136281,450579722,60458,348536837,105280,185146788,25296,141117485,75868079
17250,483563,393249,47656,102792,117879,39568,64964,385071057,281497,140799,24661,387387996,138265,456391608,64206,353045683,101171,187207951,23451,144010016,77268859
17500,500087,379838,48090,103381,120873,40242,61022,390065939,268774,141944,24635,392316942,136827,461203003,61665,358144605,111088,190706321,26597,147704091,78717536
17750,489369,394824,48499,100784,193400,41497,60449,395357330,263816,147248,25685,398258259,129474,468260825,61038,363190044,144974,192822791,24220,149111077,80228457
18000,490267,403566,48325,104910,117662,39887,63263,399917198,262561,145059,24350,403453212,134841,475575323,63557,368712420,105008,195975224,24870,152799817,81460528
18250,480567,413780,48002,97763,120039,39824,62250,405560042,281948,133601,24416,409117382,133079,482522334,61610,374018382,100899,198455465,48092,155342981,82840916
18500,495028,408317,48551,101501,122695,39972,59975,410297817,272395,148972,24615,415036967,139694,488712983,60888,379584134,101268,200344973,24522,158416296,85259622
18750,555041,409205,47713,102304,119622,37711,62627,415023766,272862,138896,24229,419955284,177316,495150572,63642,384046016,107793,202869821,23995,161951032,88379913
19000,509238,460700,47802,99558,121395,39071,59342,419714869,288095,145965,24561,425491165,136108,501133551,59416,389141516,99226,206116947,23891,166081627,93107314
19250,497388,411208,48347,99687,118609,39972,60266,424361758,282618,139157,24585,430866462,136353,507050134,61241,393930407,103508,208674868,23460,169437880,94136996
19500,488256,427948,48240,102796,126816,38436,61588,429570726,279443,156264,24667,436551155,138471,512266949,58478,399015580,102829,211401173,25864,171509098,96573577
19750,507167,430052,47436,160923,115502,37922,60998,434772131,298636,146914,24795,441825471,132483,519270554,60212,404510487,100982,214036981,22515,174300307,98795242
20000,513170,424443,47685,125440,124059,41483,60629,439758185,388520,157877,24875,446888280,140586,526627000,62320,408971518,101132,217270611,23125,177751673,100807670
20250,507157,409304,47789,100600,122447,38654,59491,444466863,277627,153274,25060,452637738,130754,533208238,64328,415042975,104369,219842091,24092,180144055,102695681
20500,550586,431496,48878,100006,120808,38669,57914,449805124,269733,152955,24647,458291049,133981,539644253,61340,420498829,100490,222168736,23135,183015323,103984584
20750,514630,427304,48018,100684,120838,39842,57717,454952838,275651,161010,24705,463894642,138143,546202343,61007,425067280,98084,224918390,23009,185359625,105724021
21000,508571,421174,47678,104677,127383,37750,59168,460130428,4469233,155692,19378,469389998,142371,552060868,62325,430031739,107320,227691988,24662,187652516,107302848
21250,520390,476971,47516,102915,124012,37517,57895,464730087,238901,145122,18473,475005253,138086,557488484,61391,434544976,102241,230760765,23765,190743602,108923947
21500,513945,435027,48767,102496,116462,39373,64566,469715700,232401,155646,18484,480328083,129493,562166975,64882,440077848,102280,232967340,23530,192615822,110485781
21750,509740,417206,47831,100015,123501,38677,61013,475020322,248412,164549,18485,486418704,135512,569059218,64355,444454343,103522,236128178,23433,195393959,111720976
22000,515298,436450,49446,100848,120931,40099,58029,479475101,241003,155566,18458,491941072,136234,575723750,64014,449946549,101128,238438054,23196,198572198,113205802
22250,573561,431342,49024,104539,123856,39156,54591,485403125,251443,205149,18500,496454089,136429,581630748,62861,455680762,105785,241728999,36292,200845203,114510397
22500,523672,442701,47852,101314,123781,40846,64601,490284265,237165,155425,18508,502050621,137818,588119456,64031,460988795,102536,244172403,27111,203190591,116247545
22750,519543,428538,50747,101348,123131,40548,56519,495136178,240370,152750,65704,507731687,136643,594564973,64278,465091739,106409,247056106,25347,205680392,117433374
23000,526610,444282,50591,98515,123394,39222,62981,499547039,314615,163411,18686,513286348,137217,600723427,64267,470245620,98837,249457978,39843,208788083,118847410
23250,520771,507076,51655,98403,124491,38010,61406,503926790,246169,149068,18548,518574890,131061,605800658,60029,475464282,105563,252934099,24536,211001488,120541744
23500,529305,454338,98924,98005,118714,39541,58870,508430637,257533,153032,18544,524047927,131898,611397919,63203,480234784,113055,254909925,23304,214214058,121804858
23750,518974,441819,50905,98234,123989,37526,58509,513338297,243778,158241,18516,529892154,130372,617931102,61415,485359393,98549,257838992,22007,216650424,123118222
