Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
44500,584254,550391,52350,95129,129297,35772,50667,892354337,249274,168556,18528,981385116,116376,1103091205,58568,903625572,100336,484327207,23312,433039266,232884736
44750,596675,612054,51460,93922,125500,36484,54779,896310664,237397,172622,18900,986627104,118947,1107548980,59705,908522082,102871,486818449,24516,435251805,234557117
45000,642735,538146,50821,96813,127105,36581,57040,900479589,242771,177858,18560,991971532,119872,1113213069,56893,912743705,103817,489187719,22729,438219954,235560396
45250,595578,559472,50818,95629,122614,37270,81004,905002328,288709,173821,18509,997729067,116344,1116500050,57899,917865643,111059,491910418,22794,441062653,237084285
45500,601415,555248,51470,92600,122280,35906,111336,909586246,250861,179818,18571,1002880418,114275,1122440715,56162,922667843,103956,495001300,21983,443465452,238206424
45750,596816,549653,51817,96744,119827,38936,57630,913575596,241531,180290,18514,1008434631,113491,1128408322,95597,928199308,102227,497520647,22412,446048490,239789332
46000,590454,538342,50752,94895,130463,36462,54917,917966014,243955,180226,18506,1013469057,119615,1135500871,57020,933311598,100322,500433726,23496,448743898,240815525
46250,604054,567292,50249,96022,124361,37386,57374,922356332,237698,169025,18535,1019291339,114231,1141193109,56769,938939608,106097,502873878,23294,451531285,242015499
46500,604348,608145,50844,97013,124731,39716,56457,926699586,244300,175396,18692,1025211954,119291,1147522337,57184,943745815,101801,505895958,22226,453892936,243252575
46750,660536,583276,51032,97527,130370,39746,58179,930497076,260788,173983,18709,1030736845,120964,1153439959,57978,948217539,104796,508497144,23461,456623961,244841293
47000,609967,554566,51949,93933,128519,37633,57705,934942129,237337,165584,18501,1036093952,114922,1157961258,58021,953716191,99686,511327003,24123,459557573,246078738
47250,616426,566573,51550,92655,128339,39004,56925,939846935,248508,177772,79996,1041753534,113424,1162646144,56232,958244277,100773,515785593,23138,461692348,247568455
47500,596989,587064,50349,95785,127255,39765,59314,944355351,254921,181537,18568,1046648775,112269,1167236283,54680,963516357,114964,517129671,21818,463981474,248744553
47750,590727,571476,51734,94787,133147,38647,57109,947978240,251989,167000,18537,1051812123,118579,1173205842,55051,968658272,114312,520025483,22786,466669128,250018256
48000,600788,602860,50245,94781,123833,37873,59583,952522081,244170,172438,18529,1057246416,116874,1181013890,56040,974055391,107167,522426543,22469,471068555,251261980
48250,701739,563946,52641,96524,130759,37380,59634,956228657,244066,178821,18571,1062690470,120175,1185756736,62533,978974007,104568,525535319,23247,472601338,252684305
48500,617953,587130,52062,94327,184715,41343,56082,961100485,244956,169284,18562,1068366065,112791,1191848050,54695,984022985,101302,528822797,24225,474478226,253810193
48750,605451,576106,50873,96630,145751,40704,58667,965929371,322275,168731,18576,1074029034,121240,1196976435,59536,989017391,101996,530898969,21539,476962769,255384041
49000,608904,550732,51109,93570,130109,34439,52107,970149549,259068,176721,18622,1079301512,120179,1201756325,55488,994234467,105041,533628266,23480,479976068,256603423
49250,594309,587076,50354,94958,128496,38420,53017,973977257,242566,177571,18592,1084564785,120287,1207115747,56801,998707525,100933,536381387,22265,482296987,258072334
49500,604194,627960,52073,95768,123649,39290,54024,978114270,241578,171714,18544,1090078001,114554,1211560728,59133,1003852241,100398,538750545,23528,485645826,259184604
49750,673930,567629,50702,98160,134850,41301,55597,982732206,262569,174105,18557,1095536450,124533,1218146472,56716,1009105567,108611,541553351,23850,487763318,261046166
50000,621879,580530,50542,94398,130752,42688,54641,987121674,246725,173372,18735,1100845333,119457,1224190831,59066,1014521202,109383,544207754,22140,490384828,261708744
50250,617831,584175,51098,95832,132138,44658,58636,991030570,261201,170603,18557,1106488793,114453,1229594522,62264,1019121777,107784,547280210,24098,492912226,263271413
50500,617923,561376,50361,154227,120367,43712,56921,994901844,258183,164107,18518,1111604086,115569,1236453985,57389,1024758420,102395,549707205,21664,495692051,264465746
50750,608488,557396,96988,116981,132401,41984,52898,999096827,264527,188423,18736,1117116895,120993,1241679622,60269,1028972205,104923,553066268,23163,498197665,265824876
51000,613134,576029,50637,93231,127197,40254,56333,1002922148,254785,253154,18818,1122765446,113819,1246695464,59616,1033936831,99617,555187807,21492,500841169,266969706
51250,663692,611262,50281,96729,130032,37166,58388,1006932473,261195,179252,18535,1128383446,119833,1251126444,57462,1038500873,105901,558284286,23249,503552664,268701950
51500,614119,578076,51252,95599,126902,35206,53239,1011821466,245645,172548,18568,1133782144,115760,1255872995,61532,1043326721,105604,561220087,22002,506405728,269666283
51750,609904,561036,50938,92622,125785,36610,54017,1016460141,243893,181731,18615,1139484041,113773,1262031622,55976,1048159722,100544,563315903,23834,508689475,271460276
52000,592818,586252,51925,93662,123597,37356,57383,1020727376,245865,174945,18589,1145497717,114402,1269062029,53629,1053597948,106083,566018011,22331,511500374,272487679
52250,616782,585021,50834,94383,123103,36506,60668,1024292202,298498,172359,18604,1151707674,117459,1274578674,59733,1059102797,99488,569226784,24174,514022812,273618305
52500,623062,575266,50553,94233,123468,37997,57057,1028849167,251362,170122,19189,1156523156,117473,1280856593,56249,1063646884,109617,571957338,21823,516809986,275274574
52750,653361,637859,50384,93214,126854,36828,53655,1032835771,254960,169523,18600,1162753958,116594,1285857753,51790,1068582234,108114,574809694,22369,519279239,276455292
53000,618119,566599,50598,95176,126793,36876,54296,1037285542,264725,178553,18575,1168101384,119391,1290681842,55701,1073182971,100724,577282411,22653,521928544,277804494
53250,612825,564589,96264,97759,130811,37781,58445,1041295234,252122,165910,18710,1173138261,122705,1295542632,54107,1078653610,105903,580389652,23948,524437567,278909332
53500,610658,573994,50405,93463,125385,36098,56491,1045466159,247013,182965,18527,1178992119,119683,1299612057,52517,1084134623,102296,582369999,23471,527053145,280729988
53750,621235,575528,50973,93679,124851,36044,58853,1048960812,249141,177267,18772,1184908116,119015,1306565728,53725,1088082540,118836,586109439,23094,529474312,281476914
54000,621875,586366,51093,98400,131567,40571,59568,1053162376,261296,182319,18600,1190019994,125021,1313048671,55038,1093932103,122959,588145471,23063,533420588,282601191
54250,673238,583988,51799,94899,131674,37858,60884,1057544054,257798,175073,18708,1195324387,121725,1318664325,56040,1099680265,100894,590605673,23249,534886119,284183405
54500,633046,633949,51506,95753,125954,36248,60506,1062637519,265774,186019,18566,1200731344,122793,1325256998,55754,1104461167,137513,594119457,52777,537385683,285696565
54750,615629,572458,50940,95473,202312,36771,61567,1066589721,255745,173512,18691,1206220718,115974,1330806279,54054,1109686395,103759,596270175,21519,539893062,286907540
55000,610202,584768,50440,95500,128553,35616,59066,1070719549,254854,183647,19207,1211873281,121655,1334599939,56366,1114857372,112548,598849691,23275,542663017,288173677
55250,607218,584864,51877,94948,126135,36308,60565,1074953274,260583,174849,18632,1217443286,117351,1339170711,55082,1118783275,102089,601553153,20987,544837113,289374182
55500,615360,593524,51552,96370,122943,37711,56582,1079320030,298148,216440,18542,1222598205,172933,1344301889,54633,1124188877,107371,604899090,21307,547797492,290717510
55750,673051,598914,52351,93698,126335,37460,57683,1083855079,249787,191540,18568,1228282403,118531,1349858376,51955,1129208564,99703,607508890,22668,550081479,291849114
56000,620238,643903,51787,95284,129445,38605,51240,1087803107,250504,182065,18554,1234251602,117879,1357324841,52061,1134681136,100139,609896637,21776,552970525,293466899
56250,621767,588156,50923,94873,130412,36424,58291,1092067963,276197,182047,18298,1239713913,119701,1363737906,56325,1140002963,106465,613123250,24007,555378630,294519354
56500,634002,595651,51340,95552,131788,36843,56430,1096630348,263570,176925,18623,1245848533,120306,1368753594,52867,1145303304,102052,615740855,22710,557944985,296192738
56750,621184,578639,50632,94416,129164,37584,59229,1100941995,242328,177748,18794,1251074634,121890,1374218782,52760,1149921407,102187,618022628,23248,560994216,297232070
57000,636249,583570,52320,93617,131683,38898,57611,1104822347,274927,176610,18628,1256301941,122450,1379159109,52974,1155203859,102344,621006319,21022,563140665,298698584
57250,697405,597899,50580,94841,123454,37587,53928,1109953222,262244,189256,18605,1262024994,116583,1383078057,53808,1160767455,104167,623644466,23280,566606791,299980012
57500,629706,587411,50846,95788,130516,38641,55296,1113608967,269353,176552,19048,1267145842,121573,1388018596,54103,1165514625,112427,626518824,21753,568506948,301084314
57750,624514,592827,50673,94397,127309,37608,51136,1117878579,255523,177502,18567,1272681952,114829,1394883283,50946,1171222511,106852,629472017,23823,571513614,302502690
58000,618797,595226,51581,93392,122812,35864,56329,1122416728,276360,180579,18615,1278280717,120797,1401612743,53775,1175924584,104228,631143650,21880,573891873,303853651
58250,614780,592880,51474,138564,129991,35224,52150,1126318576,267210,171214,18682,1283552637,116935,1407928176,53632,1181186978,100287,634380553,21850,576399865,305297963
58500,627200,576346,50520,94597,122873,35818,56251,1130956382,259934,178593,18644,1289399709,115721,1413892921,53559,1185997713,104970,637236883,22725,579422236,306610280
58750,656899,596095,51009,94637,129025,34948,56273,1134381993,268515,177633,18604,1294432134,116634,1419617280,52489,1190487179,99065,639877663,21896,581885688,307677715
59000,628353,643705,51366,96655,127215,39497,51456,1139265036,367375,174512,18622,1299819814,120607,1424493604,50194,1195063214,99608,642348788,24512,584218400,308933483
59250,638333,587952,51067,93541,127978,37366,55997,1143004090,282125,183875,18889,1305629610,123311,1429384613,48525,1200711405,103740,645171732,22639,587484835,310616396
59500,628687,579137,52442,93501,131206,34682,55097,1147740535,275768,189338,18578,1310868581,119527,1433893689,50783,1205881394,99941,648221540,22218,589504519,311518779
59750,612886,585324,50740,92598,120980,37004,52731,1152279300,267198,178528,18566,1316211853,120944,1440473577,51420,1211354606,102782,651270446,23437,592623196,313252074
60000,629016,596036,50957,97663,129846,35147,54981,1156533681,260623,214209,18810,1322514753,126241,1446488878,50304,1216275312,108735,654599282,21153,594735048,314503111
60250,681688,595592,50713,95447,127508,35232,57771,1160654901,261002,179641,18608,1327545957,119533,1452740662,48481,1222506340,107100,657103546,21092,597237073,315961735
60500,644264,625791,51814,99418,134773,35313,60023,1164516332,264157,186565,18607,1332975780,122940,1458819204,50503,1227438302,107967,659093309,24239,600166249,317141279
60750,618075,662612,50305,92104,168813,36734,58918,1169133264,257449,179348,18602,1338669707,119119,1464016399,53114,1231893622,98139,662401089,22379,602560718,318250570
61000,632601,601386,50420,93739,128201,34572,54194,1173478729,257853,176099,18622,1343431891,116027,1467982813,50939,1237257178,101856,664522027,22361,604889517,319942554
61250,619402,619083,50201,92036,130793,36937,60217,1177549331,257520,175132,18660,1349146628,118650,1473137266,50113,1241983437,99722,667597314,22393,607962797,321004754
61500,619628,599163,50254,93685,126230,38379,54297,1181761499,256152,177848,18633,1354718352,121322,1477467831,52554,1247532911,102870,669872682,22457,610103393,322137976
61750,726003,596188,51992,94014,125075,38011,54477,1185529852,254030,185941,18738,1359913448,166179,1483690739,50157,1252697495,138801,672838976,23676,613111706,323601546
62000,625434,591935,50469,93669,124515,36222,60657,1190385233,332824,180144,18560,1365295574,119947,1490847818,50838,1257648146,115782,675632613,22134,617488429,324988795
62250,637983,645736,50228,95870,126383,37743,54532,1194621718,273641,185946,18632,1370824064,120689,1496706670,48658,1263112292,101023,677709168,20977,618454752,325755470
62500,636473,603301,50890,96902,129519,37118,54114,1199062982,259463,198758,19171,1376629854,120828,1502626625,48503,1268165601,109423,680944271,24068,620263093,327505560
62750,633913,607725,51306,95987,133057,37849,60053,1203457395,267780,202102,18633,1381795401,121362,1507754093,53221,1272775723,109755,683649312,22963,624151839,329069770
63000,707481,590411,51758,98325,136158,39964,61854,1207015853,288530,201507,18680,1387660414,125369,1512970261,50845,1278098776,102361,686160899,22612,626173522,329916280
63250,646390,595750,50278,97306,127572,38132,60829,1211921886,254685,199435,18634,1392653935,118806,1517621889,52442,1282912201,102629,689154655,23963,628629988,331296027
63500,639324,614307,51480,96031,129709,35887,58413,1215858781,274992,197693,18652,1398257796,120901,1521854517,46614,1288263758,104804,692115581,21192,631333725,332862549
63750,636705,687514,50680,95465,136001,38544,51726,1220264218,284127,205238,18580,1403984456,124042,1527540121,45398,1293169976,104718,694271989,22774,634209577,333787339
64000,641658,589732,52178,94751,130331,38052,56177,1224617560,279449,203781,18627,1408848666,126886,1534911784,47230,1298073961,101544,697193856,22910,636007564,335251647
64250,633869,601295,51953,95519,116324,39677,51276,1229267593,282715,246849,18658,1415077109,121161,1541482216,48505,1304222958,103450,699842428,21427,639725687,336940894
64500,727730,610427,52259,94441,119176,39984,58962,1233747993,276322,201085,18700,1419811541,120471,1547914117,47389,1308909572,102495,702611083,23236,641975957,337718558
64750,640681,605986,51877,95907,123067,39219,53695,1238348239,290500,200433,18680,1425110964,134336,1552334271,47742,1313818500,101224,705375869,22924,644432451,339254156
65000,639849,616651,51239,96839,124023,41101,51988,1242724908,277395,205629,18952,1430468761,116541,1556991132,49004,1319109378,117183,708551222,22265,646989049,340576630
65250,651506,642503,51639,94531,125681,39572,57218,1247506966,332422,201407,18731,1435722911,123417,1561667034,47096,1323471566,101341,710978373,21741,649152414,341905995
65500,643118,597111,52198,94389,123616,38760,56561,1250252151,275758,197684,18637,1441820219,122810,1566969600,47374,1328295797,99685,713477198,23001,652475836,343227194
65750,642459,618163,51618,93759,124361,41868,55542,1255039124,284859,204936,18661,1446922903,119212,1572756343,46866,1333499229,7539659,717770473,21845,654722404,344550587
66000,747921,588298,52550,148552,123752,42219,65154,1259213062,271257,207842,18628,1452623380,128919,1579544498,49147,1338581580,111744,718829015,21937,656736272,346079234
66250,624654,610403,52041,115361,134638,36571,124008,1263555764,264584,204150,18649,1457969460,145938,1585809944,49353,1343641690,108802,721576581,23134,660118413,346826461
66500,646409,607373,52950,98977,133904,39213,60959,1268700532,280159,200277,18611,1463783493,125631,1592202534,51488,1349161237,112303,724329039,23508,662445753,348260871
66750,641704,671489,51515,96154,163452,41749,52819,1272777855,288775,205501,18871,1468915700,125477,1597185749,49448,1353919057,105923,727534917,22193,664589774,349810059
67000,640756,608024,51449,95042,133139,41021,54102,1276399198,277623,205676,18610,1473787106,126754,1602245015,50916,1358227368,102981,729830645,23432,667523374,351055732
67250,693718,604643,51957,94291,121541,42432,59098,1281090171,275815,206904,19171,1479696373,123116,1606727693,71003,1364058962,101224,732481186,21348,670080470,352638402
67500,626973,602874,53639,93001,123183,42357,51808,1284851795,272550,207507,18591,1485299371,123462,1611174870,49941,1369343107,104461,735402039,22428,672905574,353702337
67750,632123,599293,54049,95678,129755,41153,53948,1289303710,282561,202951,18848,1490579430,180855,1617597802,48667,1374353005,106534,738304607,23146,675712543,354753854
68000,644447,608443,54738,97015,128934,43445,55590,1293569647,286540,200999,18643,1495994328,144997,1624254977,49288,1378785700,107065,740918122,23890,678355884,356286311
68250,645040,663658,55375,97165,129110,42784,54867,1298121503,342333,251073,18649,1501122961,132424,1630624462,49491,1384718305,104326,743449115,21486,680634305,362304131
68500,655124,609422,55787,94081,119205,39387,53968,1301839264,270557,202207,18624,1506135729,122470,1636074986,52449,1389847882,105862,745968556,22593,683455935,359239865
68750,684233,614076,54479,92969,118465,42265,54820,1306274035,278953,203950,18622,1511597673,122655,1641506549,52229,1394634354,99587,748951995,26648,686232405,360029316
69000,627256,618148,54486,95982,123658,40482,50269,1310618271,274145,205131,18802,1516653067,126254,1646839281,50998,1399704927,113066,751625648,25936,688325351,361554370
69250,654954,619016,53985,96282,129850,40322,55822,1315590515,282266,201172,18806,1522105005,127838,1651270929,50011,1404874352,112730,754658026,40958,690694379,362938389
69500,646069,623482,54933,97299,125414,91655,52998,1319684707,275943,203139,19111,1527093389,130007,1656182929,47874,1410046328,102851,757102485,22604,693723798,364210192
69750,638300,648406,55229,96177,126260,40363,57078,1323767560,269590,209018,18645,1532506844,125172,1661573786,49031,1414994201,103113,759895535,23822,696668966,365241725
70000,637782,624830,54749,93716,116296,39519,55219,1327735336,280903,207184,18609,1537683738,117303,1668419396,49409,1419494777,119586,762601692,22063,698167284,367134797
70250,681141,606716,55018,94363,131414,37788,51476,1331707413,262783,205336,18628,1543232602,121929,1674286932,50227,1425032602,102368,765455707,21529,701712690,367999337
70500,650803,619855,54237,94809,123572,40383,58563,1336248801,272794,204901,18623,1549314445,126709,1679697465,49929,1430630831,104530,768093412,22035,703978529,369405938
70750,650717,619711,54272,94123,126801,40047,55168,1340086801,285162,200436,18644,1554283488,122759,1685270315,49317,1437398672,101972,772549438,22835,706722317,370768910
71000,640978,629351,54330,97497,126224,37649,53654,1344677434,280315,204068,18690,1559923253,127929,1689598217,48666,1439649744,103082,773565710,22173,709647671,372480133
71250,649086,679696,55872,97461,123295,39449,56511,1348479846,279558,198626,18663,1565982242,125070,1693988602,47170,1443885485,105212,776415747,22124,712325151,373743993
71500,647005,624380,54942,96044,131775,39625,53367,1352836555,277382,203861,19003,1571644349,127042,1699036155,50956,1449416086,110646,778637982,21670,714565377,375424070
71750,701364,616637,55011,96997,123709,36612,54902,1357133391,279015,203934,19046,1576462794,126105,1705107705,46831,1454412954,101866,781934667,22301,717676400,375910139
72000,656353,612330,54767,98137,125915,40375,54825,1362772144,273891,206365,18677,1581620371,128617,1711427628,50393,1459713905,106655,784569486,22678,719283254,377611276
72250,654749,631624,52689,96991,125371,40186,55945,1367118315,276644,204808,18670,1587585745,126668,1718003037,54969,1465345144,102401,786793529,22626,722186950,378605905
72500,650086,625832,98253,93611,128328,39479,51894,1370774865,281921,253041,18898,1592424254,125818,1724180380,51559,1471169323,100618,790517562,22979,728140113,380373285
72750,655790,696069,55445,96030,119420,40265,53156,1374785890,283107,209707,18627,1597634578,125472,1728894340,51202,1476356960,108884,792503402,21094,729165726,381339538
73000,673087,619764,53621,93016,190613,41004,50861,1379330697,272888,210629,18660,1603906878,125948,1733919006,53680,1480608752,101373,795137625,22732,729965375,382554321
73250,653337,608846,55323,94814,128503,42150,53724,1383679338,296092,203108,18639,1608962068,123772,1739028910,53194,1486516598,101131,798444280,23634,734297228,384014107
73500,650908,621910,67856,93857,130600,41704,50267,1387657938,284934,207766,18595,1615717995,124495,1743831124,54234,1492236858,104523,801152427,20281,734886401,385493282
73750,625495,647325,56168,133200,128675,38779,50183,1391310744,285101,213360,18706,1621050204,182303,1750181732,49871,1498214804,95387,803680454,21637,738347825,386469498
74000,650938,632056,54466,97438,139699,40598,48674,1396273452,286001,199759,18661,1627548583,148452,1756410786,51217,1502949160,116881,806223357,22018,740368386,388003326
74250,653662,731006,54939,93525,128599,43221,58016,1400660871,283052,202864,19490,1633093139,124847,1764167255,52135,1509267311,102786,809036837,23827,742826891,389598159
74500,712410,622263,54667,96463,128482,44884,49182,1404870275,266968,203241,18664,1638361787,127403,1768570519,54557,1514890361,105575,811927126,21876,745589349,390356873
74750,665183,608679,54830,97588,132564,39211,51971,1410017128,335073,210017,18643,1644554244,123379,1773984318,54525,1520205076,100214,814353552,21953,748300333,391827245
75000,661006,629946,55481,94274,129763,43559,53036,1413118350,293433,202279,18632,1650899607,129079,1778693430,52459,1525178544,105531,817016193,22843,750754313,393204098
75250,647553,649989,56554,97450,135012,41780,49257,1418450050,291529,205023,18876,1656320675,126483,1783563866,52273,1530166517,104585,819573914,22081,754220014,394622548
75500,650080,625221,56914,96912,129342,42996,50383,1421350863,297352,206513,18645,1661862633,125356,1788171840,52808,1536572919,100752,822845367,24202,756509977,395841672
75750,663987,686890,55526,97085,137157,41625,53570,1425740036,300780,209212,18624,1668394388,127672,1794326563,53064,1542523835,108988,825825011,22555,758981116,396670241
76000,744966,629231,55665,93533,130093,42475,53764,1430315235,285773,211343,18798,1674069910,126189,1801554918,56561,1548640265,101296,827621408,22454,761783844,398487835
76250,659307,607482,53642,94476,123003,42178,74654,1434589887,279544,215063,18655,1678594268,125451,1807803794,56772,1553834111,101053,830806759,21435,763842014,399736983
76500,644049,627465,53804,92971,130682,44770,52867,1438210412,285476,251001,19487,1684536117,123206,1814230749,57775,1559987721,109695,833930617,22159,766315653,400950044
76750,640095,637805,57013,96945,135522,46070,113374,1442776797,277350,211005,18619,1690524239,130227,1818556012,58394,1564878697,103004,835952454,23384,768800580,402257539
77000,658502,722671,56897,96888,138131,42266,48483,1447415493,289175,202678,18839,1696454490,131402,1823782381,54126,1570195796,154891,839067674,21601,772175380,403315674
77250,699669,615591,57449,95632,132140,41948,52836,1451349158,294804,205646,18594,1702216741,128958,1827902598,53639,1576170137,101910,842347691,22372,775642740,404982038
77500,656221,634714,56109,95080,128665,39525,49497,1456372353,289986,208829,19081,1707730132,123928,1833301290,56286,1581092723,111651,844126711,22562,777550671,406224575
77750,658668,634897,57378,97299,145308,40135,48730,1460142977,379476,210851,24522,1714300724,132486,1839106056,57310,1587026219,108967,847096415,21631,779584908,407350582
78000,652374,633393,57394,92001,124933,38737,49185,1464103425,277359,204285,24890,1720107577,119699,1845702054,57510,1592908792,99680,849929978,22297,782119057,408775269
78250,644126,627615,57572,94766,128121,43471,52061,1469079494,279613,205769,24539,1726055061,128575,1851951599,56095,1598349388,100749,852215375,22150,784617005,409835294
78500,642917,687998,57176,92497,132435,41441,50073,1472645782,297490,213845,24596,1731979910,130500,1858025170,56553,1604263725,103025,855086284,21066,787451510,411587490
78750,706948,632935,55482,93297,181018,42261,50499,1476396362,277251,207603,25040,1738191037,125434,1862678879,55353,1609137833,111018,857924754,22064,789515387,412831786
79000,651078,635293,57408,93731,135003,43061,54033,1481006017,287795,205580,24333,1742965450,125633,1868148061,59384,1615081035,100838,861037394,22700,792711490,414587336
79250,691245,644312,57290,93393,133425,42753,51197,1484971742,308881,211133,24222,1748671871,129958,1871654537,54579,1619970817,106248,863390855,21469,794970217,415070600
79500,662781,617298,58177,95755,137326,42412,48673,1490110340,297883,203905,24375,1754787607,129345,1876741324,57815,1626027816,102228,866796806,23951,797594586,416654682
79750,650804,638495,56555,96719,137355,41223,49199,1494458841,295838,206186,24112,1761013644,213692,1882745392,58420,1631926201,104828,869012416,24363,800209733,417723501
80000,648737,682184,56343,95966,134459,44941,50983,1498565163,300298,212149,24014,1766711532,129558,1889534631,59219,1637056598,102883,873477347,22127,802795135,419201209
80250,721879,642523,56583,94775,135259,44198,49050,1503580434,281364,206587,24544,1772336394,126676,1895605469,59281,1643614917,102599,874203295,22258,805665798,420952052
80500,649884,632680,56998,97062,140078,45550,51120,1507611426,344934,256757,24157,1778040878,134975,1901074555,60242,1648608891,103715,877571120,21230,807878606,421836972
80750,661135,638154,105057,97302,127294,45473,50118,1512098809,296667,210197,23814,1783542175,125405,1906839184,58876,1654189179,105053,880015350,22320,811040582,422896944
81000,628132,639897,56245,95767,134051,42283,54955,1515588373,298583,204084,25099,1789976031,133911,1911178875,63052,1659973584,104577,882806517,21059,813385903,424667320
81250,661149,626542,56586,94154,137619,46205,50743,1519837727,287659,214059,23990,1795831773,124171,1916214728,59266,1664850532,107321,885500180,22379,815710063,425915422
81500,714673,705630,55898,101673,139495,42956,51775,1524219892,287636,208013,24053,1810563550,134255,1921179955,59172,1670636345,108410,888265107,23333,818269057,427312344
81750,668417,648586,102631,95320,141633,42644,47247,1528316786,294472,208653,23892,1814441791,130450,1927419390,58483,1676159146,100663,890853514,21543,820897987,428498374
82000,744866,653195,56707,96292,139972,42975,51784,1532138386,290091,213273,23731,1813348759,126895,1934130731,60492,1682607320,99813,893468188,21805,823845594,429645991
82250,767619,658567,56118,97012,131371,49985,54362,1537137297,301353,210952,23561,1818670243,132346,1940099010,63046,1688760944,104371,896183341,21972,826396648,431275596
82500,744298,652121,57007,95769,135977,43797,48968,1540967817,307188,216998,24369,1824759900,126381,1945688204,61061,1693925306,99572,898760380,22049,828730181,432284824
82750,847781,713037,56531,93957,139010,42802,48140,1545587985,287584,219395,24817,1831512559,125099,1951018372,63596,1698495698,107340,901976384,23116,833178134,433729094
83000,768525,644880,58356,96387,143678,46910,52060,1549267469,298872,202647,24128,1836374565,127342,1955297550,57861,1703922545,99931,904094647,23377,834278804,434720241
83250,764544,647004,57268,96163,142217,45245,48964,1553695298,290680,215330,24253,1842501172,133851,1960177456,55230,1709822272,103078,907494612,22150,836927705,436166379
83500,743832,655026,56409,97391,136407,44801,49850,1558428075,411579,214082,25239,1848195400,130045,1964758851,60552,1714545418,107603,909786139,21685,839615906,437631359
83750,805045,651993,56563,95637,133624,44044,52042,1562109808,302950,212060,24582,1854566867,126761,1970864254,60150,1720518988,108655,911710829,21790,842051229,439241932
84000,794937,646061,57582,95094,134567,42894,55184,1566339821,300709,221003,24145,1859573862,130046,1977447784,62367,1726975565,105536,916642205,22413,844579442,440366050
84250,742233,652052,57275,96118,140169,41851,52261,1570242224,302920,259526,24044,1865514632,130960,1983041937,62597,1732418558,134951,918073447,23091,846882139,442312458
84500,796187,651780,55719,95603,139472,44796,52518,1574616976,303456,222205,24006,1871091862,125514,1988876218,61718,1737818099,106346,920545345,21870,850002852,443014321
84750,773642,633162,57828,93729,132932,46681,50908,1578957522,294395,222407,23409,1877110384,124862,1994227909,62005,1743978427,100280,923302971,22726,853624402,444266348
85000,739713,650174,56723,93325,134070,43999,50899,1582542073,307958,227909,24091,1883225222,128859,1998790598,65843,1749614340,102080,926172945,21918,856304793,445550709
85250,863034,668549,57869,93704,128219,43683,51833,1587553369,17717696,221846,26082,1889106654,123026,2004018034,63188,1755041604,104803,928485372,20427,857380621,446679729
85500,750579,672371,56039,96581,135688,41826,50339,1591987487,297382,220232,18422,1894607038,130805,2007938183,62132,1760895164,101298,931751253,23322,860540894,447935552
85750,789455,693123,56383,94115,135232,41923,49306,1596473462,244239,221862,18421,1900953998,145664,2013890070,60204,1766827441,104055,934947763,21972,862507288,449511184
86000,751910,643412,56739,95019,132758,45324,53061,1600578683,248367,220934,18386,1906688528,129843,2020553804,64046,1772390326,100716,937575945,23859,865416981,464649808
86250,783650,651124,56319,97830,131147,43107,53616,1604578991,232589,222298,18388,1911830120,130882,2027117006,66509,1779158110,113517,939850963,22250,868027397,454856752
86500,783524,652122,57734,95866,132765,42851,50216,1609736955,241344,216066,18399,1918355310,130033,2033213811,64537,1785023380,103508,942811878,21680,870743677,451284819
86750,747266,665080,57575,98436,137375,43966,52257,1613322389,250359,222548,18409,1924116888,135944,2038650019,63122,1789668121,103647,945755166,22595,872968511,457479396
87000,786178,729607,56974,94955,134942,44291,50732,1617666950,253213,222445,18452,1929550233,129971,2043079565,63445,1795428690,103751,947994177,23095,875623637,455385271
87250,734978,642508,56581,94168,132054,44476,49053,1622101560,236956,222955,18407,1935620054,125810,2048131929,63961,1801266380,102507,952985598,21431,878095319,455602875
87500,787999,657719,57813,97130,133000,43787,53493,1626052157,239525,221721,18426,1941015819,129723,2052759383,108832,1806964581,102604,957323915,22439,880891825,456385726
87750,823541,671020,57709,97983,126338,47865,53147,1630550510,253014,226770,18923,1946975002,128983,2058882518,62755,1813384027,103472,956576734,21166,883091568,458125544
88000,805670,670285,55961,94466,130765,46049,50836,1634823634,244408,281593,18427,1953106068,127468,2064782621,62302,1819132957,105493,959473400,22930,886530160,459243707
88250,761765,654008,57557,96479,135233,45288,50236,1638603016,246304,234560,18446,1959251060,130988,2071445439,64474,1825346991,102595,964024069,21815,888693674,460996200
88500,728370,729823,56327,93845,132128,46003,51921,1643018359,237428,228400,18379,1965360447,128611,2076785286,62978,1831599217,104946,964495569,22418,891538303,462123521
88750,794970,686922,57275,97309,134512,41973,46411,1647853067,242729,223008,18402,1971381559,130917,2081912274,64173,1837557866,114221,967575949,23210,894401893,464719112
89000,793345,652947,56284,93359,138627,42314,46435,1661258739,277764,224563,18397,1978224063,125638,2087240868,68035,1843379540,99118,970311402,21204,897530081,464822341
